FID,ICEAREA,H,class_height,class_length
422,401.7997785,6.244390857,Small,Small
423,1856.291696,5.739077735,Small,Small
424,4017.126218,8.028888112,Small,Medium
425,67.63383591,3.209676563,Bergy bit,Bergy bit
426,47.73835611,2.624704644,Bergy bit,Bergy bit
427,848.1060624,3.940700624,Bergy bit,Small
428,1560.46304,5.306241255,Small,Small
429,3837.056711,6.995969165,Small,Medium
430,61.73278666,4.891934308,Bergy bit,Bergy bit
431,45.79004872,3.361397252,Bergy bit,Bergy bit
432,43.79014349,3.688858232,Bergy bit,Bergy bit
433,871.7786476,2.71457045,Bergy bit,Small
434,156.912994,2.22234608,Bergy bit,Bergy bit
435,625.4098009,3.541519731,Bergy bit,Small
436,7042.229835,12.0228048,Small,Medium
437,188.0211341,4.122007141,Bergy bit,Bergy bit
438,86.28446162,3.548897164,Bergy bit,Bergy bit
439,13724.95539,12.09719871,Small,Medium
440,1317.478602,4.117403385,Bergy bit,Small
441,230.314343,3.840018629,Bergy bit,Small
442,3009.982945,9.938033407,Small,Small
443,109.7461171,3.32992025,Bergy bit,Bergy bit
444,115.6268908,3.292226677,Bergy bit,Bergy bit
445,1636.970893,5.182774133,Small,Small
446,4063.249335,6.818161148,Small,Medium
447,6638.410092,8.878961982,Small,Medium
448,42684.61796,19.72592204,Medium,Large
449,1473.482812,2.909660108,Bergy bit,Small
450,1237.894938,6.174845042,Small,Small
451,104.6678983,2.867413758,Bergy bit,Bergy bit
452,935.3401361,3.741666775,Bergy bit,Small
453,83.30688977,3.071456075,Bergy bit,Bergy bit
454,92.40654624,3.224752348,Bergy bit,Bergy bit
455,2372.964484,7.033673434,Small,Small
456,5490.606733,5.122407275,Small,Medium
457,1397.057181,6.205634688,Small,Small
458,569.3855302,3.389339449,Bergy bit,Small
459,3720.443502,9.179974488,Small,Medium
460,600.3264652,4.383376809,Bergy bit,Small
461,417.3441458,3.934087151,Bergy bit,Small
462,550.2110857,3.856397153,Bergy bit,Small
463,54.83621502,3.186482138,Bergy bit,Bergy bit
464,235.3747773,3.342768766,Bergy bit,Small
465,140.0503873,3.2330512,Bergy bit,Bergy bit
466,43.49944472,2.976946256,Bergy bit,Bergy bit
467,4190.560159,5.07965763,Small,Medium
468,6381.950995,9.362840823,Small,Medium
469,113.1957921,3.175461493,Bergy bit,Bergy bit
470,57.05208886,3.337762641,Bergy bit,Bergy bit
471,131.2192647,3.117118143,Bergy bit,Bergy bit
472,44.00633192,2.869421729,Bergy bit,Bergy bit
473,1103.194547,4.287284441,Bergy bit,Small
474,373.2394077,3.325900011,Bergy bit,Small
475,847.9938383,3.175013337,Bergy bit,Small
476,31.2585718,2.77363957,Bergy bit,Bergy bit
477,186.9391317,4.30924297,Bergy bit,Bergy bit
478,2869.999097,5.466206273,Small,Small
479,1821.246947,4.764221175,Bergy bit,Small
480,1162.739286,5.801619947,Small,Small
481,110.0389274,2.743315337,Bergy bit,Bergy bit
482,65.80897558,2.892673309,Bergy bit,Bergy bit
